"gender","age","education","income","fin_status","region","settlement_type","pol_interest","voted_binary","evote_awareness","evote_knowledge","evote_definition_correct","digital_skills_index","digital_trust_index","deliberation_index","civic_duty_index","electoral_responsibility_index","perc_accessibility","perc_security","perc_transparency","perc_anonymity","institutional_trust_index","electoral_integrity_index","evote_willingness","disinfo_personal_impact"
"Жіноча","18-24 роки","Магістр","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше не цікавлюся",0,"Ні, зустрічаю це поняття вперше",1,0,3.5,4.8,NA,NA,NA,4.66666666666667,3.75,1.5,5,3,3.25,"Так",NA
"Жіноча","25-34 роки","Бакалавр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4.6,2.7,5,3.85,4.66666666666667,3.75,5,5,3,2.75,"Скоріше так",NA
"Жіноча","25-34 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Місто (понад 100 тис. мешканців)","Радше не цікавлюся",0,"Ні, зустрічаю це поняття вперше",1,0,4,3.6,NA,NA,NA,4.66666666666667,3.5,4,3,3,2,"Так",NA
"Чоловіча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Дуже цікавлюся",1,"Так, добре знайомий/а з темою",3,1,5,5,4.4,5,4.7,5,3.25,4.5,5,2.6,3.75,"Так",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4,3.4,4.4,4.8,4.6,3.33333333333333,2.75,3.5,3,3,4,"Так",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Місто (до 100 тис. мешканців)","Дуже цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,3.6,4.4,4.8,4.6,5,3.25,3.5,3,4.4,4,"Так",NA
"Чоловіча","25-34 роки","Магістр","Менше ніж 100 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,3.25,1.6,3.9,1.4,2.65,3.33333333333333,1,2.5,1,3,3,"Ні",NA
"Жіноча","25-34 роки","Бакалавр","Понад 1 мільйон гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,4.2,4.2,4.4,4.3,3.66666666666667,3.25,3.5,3,2,3.25,"Так",NA
"Жіноча","35-44 роки","Бакалавр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,4.4,3.7,4.6,4.15,5,3.25,4,3,4,3.25,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,4,4.4,3.2,4.6,3.9,2.33333333333333,2,4,3,2,2,"Скоріше так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (до 100 тис. мешканців)","Дуже цікавлюся",1,"Так, добре знайомий/а з темою",3,1,5,5,4.8,4.6,4.7,5,4,4.5,3,3.2,2.75,"Так",NA
"Жіноча","35-44 роки","Професійна освіта / коледж","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Південь України (Миколаївська, Одеська, Херсонська обл.)","Село","Певною мірою цікавлюся",1,"Ні, зустрічаю це поняття вперше",1,0,5,4,3.4,3.8,3.6,3,3,3,3,3,3,"Не знаю / залежить від умов",NA
"Жіноча","60+ років","Бакалавр","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,3,3,3.8,4.6,4.2,3.33333333333333,3,4,3,3,3,"Скоріше так",NA
"Жіноча","45-60 років","Бакалавр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Південь України (Миколаївська, Одеська, Херсонська обл.)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.25,5,4.2,4.2,4.2,2.33333333333333,1.75,3,1,1.8,1,"Скоріше ні",NA
"Жіноча","45-60 років","Магістр","Від 401 до 600 тис. гривень","Можемо купувати дорогі речі","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (до 100 тис. мешканців)","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,5,5,5,5,4.66666666666667,5,5,5,2,2.75,"Так",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Селище міського типу","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,4.4,3.6,5,4.3,4.66666666666667,4,5,4,4,4,"Так",NA
"Жіноча","45-60 років","Магістр","Менше ніж 100 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,2.75,1.2,4.8,5,4.9,1.66666666666667,1,3.5,2,2,4.25,"Ні",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Певною мірою цікавлюся",1,"Так, добре знайомий/а з темою",3,1,2.75,5,5,5,5,5,4.25,3.5,5,3.4,3.25,"Так",NA
"Жіноча","45-60 років","Бакалавр","Від 201 до 400 тис. гривень","Не вистачає на базові потреби","Південь України (Миколаївська, Одеська, Херсонська обл.)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Ні, зустрічаю це поняття вперше",1,0,3,3,4.7,4,4.35,3.33333333333333,3.25,2.5,3,3,3,"Не знаю / залежить від умов",NA
"Жіноча","25-34 роки","Професійна освіта / коледж","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Село","Зовсім не цікавлюся",0,"Ні, зустрічаю це поняття вперше",1,0,4.25,2.5,NA,NA,NA,2,1.5,3,1,2,5,"Ні",NA
"Чоловіча","25-34 роки","Професійна освіта / коледж","Від 801 до 1 мільйонна гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, добре знайомий/а з темою",3,1,4.75,3.6,2.8,4.4,3.6,5,4,4,3,2.2,4,"Скоріше ні",NA
"Чоловіча","45-60 років","Магістр","Понад 1 мільйон гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4.2,3.6,4.2,3.9,4.66666666666667,4,2.5,4,2.6,3.5,"Так",NA
"Чоловіча","45-60 років","Магістр","Від 801 до 1 мільйонна гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, добре знайомий/а з темою",3,1,5,5,3.8,4.6,4.2,4.66666666666667,2.25,4,3,2,2.75,"Скоріше так",NA
"Чоловіча","35-44 роки","Магістр","Від 601 до 800 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,5,5,5,5,4,4,3,3.4,5,"Так",NA
"Жіноча","35-44 роки","Магістр","Менше ніж 100 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,4.5,4.4,3.8,4.6,4.2,5,3.5,3,5,4,5,"Так",NA
"Жіноча","25-34 роки","Магістр","Від 601 до 800 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",0,"Так, добре знайомий/а з темою",3,1,5,4.2,NA,NA,NA,3.33333333333333,2.75,3,2,2,3,"Скоріше так",NA
"Чоловіча","25-34 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Південь України (Миколаївська, Одеська, Херсонська обл.)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,2.6,3,2.8,3,3,3,3,3,3,"Скоріше так",NA
"Жіноча","45-60 років","Магістр","Від 101 до 200 тис. гривень","Не вистачає на базові потреби","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Село","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,5,4.5,5,4.75,5,4.75,5,5,5,5,"Так",NA
"Жіноча","18-24 роки","Бакалавр","Від 601 до 800 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",NA,"Так, добре знайомий/а з темою",3,1,5,5,NA,NA,NA,4.33333333333333,3.5,4,4,3.2,4,"Так",NA
"Жіноча","45-60 років","Бакалавр","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Село","Зовсім не цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,5,4.4,2.8,4.2,3.5,5,3.5,4.5,5,3.2,3,"Так",NA
"Жіноча","45-60 років","Магістр","Менше ніж 100 тис. гривень","Не вистачає на базові потреби","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (до 100 тис. мешканців)","Радше не цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,2.5,2.8,3,3.6,3.3,4.33333333333333,2.25,3,1,1,1,"Так",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Селище міського типу","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,5,4.4,4.8,4.6,4,1.75,4,3,3.4,5,"Скоріше так",NA
"Жіноча","35-44 роки","Бакалавр","Від 101 до 200 тис. гривень","Не вистачає на базові потреби","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Село","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,3.8,3.9,4.2,4.05,4.66666666666667,3.25,4.5,5,4,4,"Так",NA
"Жіноча","45-60 років","Бакалавр","Менше ніж 100 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.25,4.2,4.7,5,4.85,3.66666666666667,2.75,3.5,3,3.6,3,"Так",NA
"Жіноча","45-60 років","Бакалавр","Менше ніж 100 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,4,3.8,4.4,4.4,4.4,3.66666666666667,2.75,3.5,3,3.6,3,"Так",NA
"Жіноча","45-60 років","Магістр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,5,3.6,4.8,4.2,3.66666666666667,3.25,4.5,4,3.8,4,"Скоріше так",NA
"Жіноча","25-34 роки","Магістр","Від 801 до 1 мільйонна гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше не цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,4.6,3.3,4.8,4.05,5,4,4.5,5,4.2,2.25,"Так",NA
"Жіноча","35-44 роки","Бакалавр","Менше ніж 100 тис. гривень","Не вистачає на базові потреби","Південь України (Миколаївська, Одеська, Херсонська обл.)","Село","Радше не цікавлюся",1,"Ні, зустрічаю це поняття вперше",1,0,3.5,2.8,3,3,3,3,3,3,3,2.8,3,"Скоріше так",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.25,4.6,4.7,5,4.85,4.66666666666667,4.25,4.5,5,4.6,4.25,"Так",NA
"Жіноча","45-60 років","Магістр","Від 101 до 200 тис. гривень","Не вистачає на базові потреби","Південь України (Миколаївська, Одеська, Херсонська обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,3.75,3.2,3.8,4.8,4.3,3.66666666666667,2.75,3.5,3,3.4,3.75,"Скоріше так",NA
"Жіноча","60+ років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4.6,3.5,5,4.25,5,3.75,3.5,5,4,5,"Так",NA
"Чоловіча","45-60 років","Науковий ступінь (PhD)","Від 801 до 1 мільйонна гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",1,"Так, добре знайомий/а з темою",3,1,5,3.6,4.8,5,4.9,2,1,3,1,4.6,3.5,"Скоріше ні",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Живемо заможно","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Селище міського типу","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4,4.7,4.4,4.55,5,3,5,5,4,4,"Так",NA
"Жіноча","45-60 років","Бакалавр","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,4,4.1,4.2,4.15,4,3.75,4,4,3,3,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,4,3.4,5,4.2,3.66666666666667,3.75,4,2,1,3,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Селище міського типу","Певною мірою цікавлюся",1,"Так, добре знайомий/а з темою",3,1,4.75,4.8,2.9,4,3.45,5,4.5,5,5,3.4,4.5,"Так",NA
"Чоловіча","25-34 роки","Магістр","Від 601 до 800 тис. гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4,4.4,4.2,4.3,4.66666666666667,3.75,4.5,3,3.2,3.25,"Так",NA
"Чоловіча","25-34 роки","Середня освіта","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,3.6,3.1,3.6,3.35,5,3.5,3.5,2,2,2.75,"Так",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,3.75,4.2,3.1,3.4,3.25,4.33333333333333,3.5,3,4,4.6,2.5,"Скоріше так",NA
"Жіноча","35-44 роки","Бакалавр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,3,3.4,4.9,5,4.95,1,3,3,1,4.2,5,"Ні",NA
"Жіноча","25-34 роки","Магістр","Понад 1 мільйон гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше не цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,4.5,4.4,4.45,4.66666666666667,3.5,5,5,3.8,2.5,"Так",NA
"Чоловіча","25-34 роки","Магістр","Від 401 до 600 тис. гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Селище міського типу","Радше цікавлюся",1,"Так, добре знайомий/а з темою",3,1,4.75,4.2,4.1,3,3.55,5,3.75,3,1,1,1.5,"Так",NA
"Жіноча","25-34 роки","Магістр","Понад 1 мільйон гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4.8,5,5,5,5,3.75,4.5,4,2.8,3.75,"Так",NA
"Жіноча","25-34 роки","Бакалавр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше не цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,5,3.9,4,3.95,4.66666666666667,3,4.5,5,2.8,3.5,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 601 до 800 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,4.4,4.3,5,4.65,5,3.75,4,5,2.4,4,"Так",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Не вистачає на базові потреби","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Село","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,4.4,5,4.7,5,3.75,5,5,5,5,"Так",NA
"Чоловіча","25-34 роки","Магістр","Менше ніж 100 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (до 100 тис. мешканців)","Дуже цікавлюся",1,"Так, добре знайомий/а з темою",3,1,5,3.4,4.4,4,4.2,4.33333333333333,2.5,5,3,2.6,3.25,"Так",NA
"Жіноча","45-60 років","Науковий ступінь (PhD)","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,3.6,4.6,4,4.3,3.66666666666667,2.5,4.5,2,2.6,3,"Не знаю / залежить від умов",NA
"Жіноча","25-34 роки","Бакалавр","Від 101 до 200 тис. гривень","Не вистачає на базові потреби","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Радше не цікавлюся",1,"Ні, зустрічаю це поняття вперше",1,0,4.25,4,3.8,3.6,3.7,5,3.5,4.5,5,4,4.5,"Так",NA
"Жіноча","45-60 років","Професійна освіта / коледж","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,5,3.5,3.8,3.65,5,3.25,4,4,3,3,"Так",NA
"Жіноча","25-34 роки","Магістр","Менше ніж 100 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,3.75,4,3.7,4.4,4.05,5,1.75,4.5,1,3,3,"Так",NA
"Жіноча","45-60 років","Магістр","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,4.75,4.6,4.4,4.2,4.3,3.66666666666667,3.25,4,4,3.2,3.5,"Скоріше так",NA
"Жіноча","25-34 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Селище міського типу","Певною мірою цікавлюся",1,"Ні, зустрічаю це поняття вперше",1,0,5,5,4.2,4.2,4.2,5,3,5,5,3,4,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 601 до 800 тис. гривень","Можемо купувати дорогі речі","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4,4.3,4.6,4.45,3.66666666666667,2.75,4,2,2.6,3.75,"Не знаю / залежить від умов",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Село","Певною мірою цікавлюся",1,"Так, добре знайомий/а з темою",3,1,5,4.8,3.4,4.8,4.1,5,3,4.5,5,4,4,"Так",NA
"Жіноча","60+ років","Професійна освіта / коледж","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,1.5,1.4,3.9,4.6,4.25,3,1.5,4,5,1,2,"Так",NA
"Жіноча","45-60 років","Магістр","Від 401 до 600 тис. гривень","Можемо купувати дорогі речі","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4.2,4.9,4.2,4.55,3.33333333333333,2.5,5,1,3,2.25,"Скоріше так",NA
"Жіноча","45-60 років","Магістр","Менше ніж 100 тис. гривень","Не вистачає на базові потреби","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,4,3.8,4.5,4.2,4.35,3.33333333333333,3.25,3.5,3,3.4,3.75,"Скоріше так",NA
"Жіноча","45-60 років","Бакалавр","Від 401 до 600 тис. гривень","Не вистачає на базові потреби","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,4,4.6,5,4.8,4.66666666666667,3,3.5,3,3.8,4.5,"Так",NA
"Жіноча","35-44 роки","Бакалавр","Від 201 до 400 тис. гривень","Не вистачає на базові потреби","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,5,5,4.5,5,4.75,4.33333333333333,2,4.5,5,3.2,3.25,"Скоріше так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Можемо купувати дорогі речі","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (понад 100 тис. мешканців)","Радше не цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.25,4.6,2.7,3.8,3.25,3.66666666666667,3.5,4,3,3.6,2.75,"Скоріше так",NA
