"gender","age","education","income","fin_status","region","settlement_type","pol_interest","voted_binary","evote_awareness","evote_knowledge","evote_definition_correct","digital_skills_index","digital_trust_index","deliberation_index","civic_duty_index","electoral_responsibility_index","perc_accessibility","perc_security","perc_transparency","perc_anonymity","institutional_trust_index","electoral_integrity_index","evote_willingness","disinfo_personal_impact"
"Жіноча","25-34 роки","Магістр","Від 601 до 800 тис. гривень","Можемо купувати дорогі речі","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4,3,4.2,4.4,4.3,3.66666666666667,2.75,4,3,2,3.25,"Скоріше так",NA
"Жіноча","25-34 роки","Магістр","Від 201 до 400 тис. гривень","Не вистачає на базові потреби","Південь України (Миколаївська, Одеська, Херсонська обл.)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,4.8,4.3,4.4,4.35,3.33333333333333,3,3,5,4.2,5,"Скоріше так",NA
"Жіноча","35-44 роки","Бакалавр","Менше ніж 100 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Село","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,3.2,3.9,4.8,4.35,4.33333333333333,2.75,4.5,5,1.4,2.75,"Скоріше так",NA
"Жіноча","35-44 роки","Магістр","Менше ніж 100 тис. гривень","Не вистачає на базові потреби","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Дуже цікавлюся",1,"Так, добре знайомий/а з темою",3,1,4.5,3.4,4.5,4.6,4.55,4.66666666666667,3.25,4,3,3,3.25,"Так",NA
"Жіноча","25-34 роки","Бакалавр","Від 201 до 400 тис. гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, добре знайомий/а з темою",3,1,5,3.8,3.5,2.2,2.85,5,2.5,5,3,1.2,2.5,"Так",NA
"Жіноча","18-24 роки","Магістр","Від 201 до 400 тис. гривень","Можемо купувати дорогі речі","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (до 100 тис. мешканців)","Дуже цікавлюся",NA,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,NA,NA,NA,4.66666666666667,3.25,4.5,4,3.2,5,"Так",NA
"Жіноча","25-34 роки","Магістр","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,3.2,2.5,3.2,2.85,4.66666666666667,3,4,5,2.2,2.75,"Так",NA
"Жіноча","25-34 роки","Магістр","Від 801 до 1 мільйонна гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,4.5,5,4.2,4,4.1,5,2.5,4.5,2,4.8,5,"Так",NA
"Жіноча","45-60 років","Бакалавр","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (до 100 тис. мешканців)","Зовсім не цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,5,3.6,NA,NA,NA,5,5,5,5,3.4,4.75,"Так",NA
"Чоловіча","35-44 роки","Магістр","Понад 1 мільйон гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",1,"Так, добре знайомий/а з темою",3,1,5,2.6,1.4,1.8,1.6,4.66666666666667,2.75,4,3,1.8,1.75,"Скоріше так",NA
